Date,Location,Category,Type,Source,Applied,CL/msg?,Exam,Interview,Status
8/6/2024,"Hybrid Boston, MA",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,"On-site New York, NY",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/7/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/8/2024,"On-site Verona, WI",Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/8/2024,"On-site Harrisburg, PA",Creative,Full-Time,LinkedIn,TRUE,TRUE,FALSE,FALSE,Waiting
8/8/2024,"On-site Harrisburg, PA",Creative,Full-Time,LinkedIn,TRUE,TRUE,FALSE,FALSE,Waiting
8/8/2024,Remote,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/8/2024,"Hybrid North Wales, PA",Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/8/2024,"On-site Philadelphia, PA",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/9/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/9/2024,Remote,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/9/2024,Remote,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/9/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/9/2024,"Hybrid Irvington, NY",Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/9/2024,Remote,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/9/2024,"On-site Exton, PA",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/9/2024,"College Station, TX",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/9/2024,"Kihei, HI",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/9/2024,Remote,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/9/2024,"On-site Mountain View, CA",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/10/2024,Remote,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/10/2024,"Hybrid Park City, UT",Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"On-site New York, NY",Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/10/2024,"On-site Atlanta, GA",Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"Hybrid Boston, MA",Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"On-site Pasadena, CA",Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/10/2024,Remote,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/10/2024,"Hybrid Charlotte, NC",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"On-site Chicago, IL",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"Hybrid New York, NY",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"On-site Seattle, WA",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/10/2024,"Hybrid Seattle, WA",Engineering,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/11/2024,"Hybrid Los Angeles, CA",Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/11/2024,Remote,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/11/2024,"On-site Palo Alto, CA",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/11/2024,"Hybrid New York, NY",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,"Hybrid Nashville, TN",Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,"On-site Downers Grove, IL",Creative,Full-Time,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,Remote,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
8/12/2024,"On-site Baltimore, MD",Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
